
# Curve 0 of 1, 5000 points
# Curve title: "{/Symbol b}=10"
# x y type
-0.0449489 -98  o
-0.0449778 -97.9608  o
-0.0450068 -97.9216  o
-0.0450358 -97.8824  o
-0.0450648 -97.8432  o
-0.0450938 -97.804  o
-0.0451229 -97.7648  o
-0.045152 -97.7255  o
-0.0451811 -97.6863  o
-0.0452103 -97.6471  o
-0.0452394 -97.6079  o
-0.0452687 -97.5687  o
-0.0452979 -97.5295  o
-0.0453272 -97.4903  o
-0.0453565 -97.4511  o
-0.0453858 -97.4119  o
-0.0454152 -97.3727  o
-0.0454446 -97.3335  o
-0.045474 -97.2943  o
-0.0455034 -97.2551  o
-0.0455329 -97.2158  o
-0.0455624 -97.1766  o
-0.045592 -97.1374  o
-0.0456216 -97.0982  o
-0.0456512 -97.059  o
-0.0456808 -97.0198  o
-0.0457105 -96.9806  o
-0.0457401 -96.9414  o
-0.0457699 -96.9022  o
-0.0457996 -96.863  o
-0.0458294 -96.8238  o
-0.0458592 -96.7846  o
-0.0458891 -96.7453  o
-0.045919 -96.7061  o
-0.0459489 -96.6669  o
-0.0459788 -96.6277  o
-0.0460088 -96.5885  o
-0.0460388 -96.5493  o
-0.0460688 -96.5101  o
-0.0460989 -96.4709  o
-0.046129 -96.4317  o
-0.0461591 -96.3925  o
-0.0461892 -96.3533  o
-0.0462194 -96.3141  o
-0.0462496 -96.2749  o
-0.0462799 -96.2356  o
-0.0463102 -96.1964  o
-0.0463405 -96.1572  o
-0.0463708 -96.118  o
-0.0464012 -96.0788  o
-0.0464316 -96.0396  o
-0.046462 -96.0004  o
-0.0464925 -95.9612  o
-0.046523 -95.922  o
-0.0465535 -95.8828  o
-0.0465841 -95.8436  o
-0.0466147 -95.8044  o
-0.0466453 -95.7652  o
-0.046676 -95.7259  o
-0.0467067 -95.6867  o
-0.0467374 -95.6475  o
-0.0467681 -95.6083  o
-0.0467989 -95.5691  o
-0.0468297 -95.5299  o
-0.0468606 -95.4907  o
-0.0468915 -95.4515  o
-0.0469224 -95.4123  o
-0.0469533 -95.3731  o
-0.0469843 -95.3339  o
-0.0470153 -95.2947  o
-0.0470464 -95.2555  o
-0.0470774 -95.2162  o
-0.0471085 -95.177  o
-0.0471397 -95.1378  o
-0.0471708 -95.0986  o
-0.047202 -95.0594  o
-0.0472333 -95.0202  o
-0.0472645 -94.981  o
-0.0472959 -94.9418  o
-0.0473272 -94.9026  o
-0.0473586 -94.8634  o
-0.04739 -94.8242  o
-0.0474214 -94.785  o
-0.0474528 -94.7457  o
-0.0474843 -94.7065  o
-0.0475159 -94.6673  o
-0.0475474 -94.6281  o
-0.047579 -94.5889  o
-0.0476107 -94.5497  o
-0.0476423 -94.5105  o
-0.047674 -94.4713  o
-0.0477058 -94.4321  o
-0.0477375 -94.3929  o
-0.0477693 -94.3537  o
-0.0478012 -94.3145  o
-0.047833 -94.2753  o
-0.0478649 -94.236  o
-0.0478968 -94.1968  o
-0.0479288 -94.1576  o
-0.0479608 -94.1184  o
-0.0479928 -94.0792  o
-0.0480249 -94.04  o
-0.048057 -94.0008  o
-0.0480891 -93.9616  o
-0.0481213 -93.9224  o
-0.0481535 -93.8832  o
-0.0481857 -93.844  o
-0.048218 -93.8048  o
-0.0482503 -93.7656  o
-0.0482827 -93.7263  o
-0.048315 -93.6871  o
-0.0483474 -93.6479  o
-0.0483799 -93.6087  o
-0.0484124 -93.5695  o
-0.0484449 -93.5303  o
-0.0484774 -93.4911  o
-0.04851 -93.4519  o
-0.0485426 -93.4127  o
-0.0485752 -93.3735  o
-0.0486079 -93.3343  o
-0.0486406 -93.2951  o
-0.0486734 -93.2559  o
-0.0487062 -93.2166  o
-0.048739 -93.1774  o
-0.0487719 -93.1382  o
-0.0488048 -93.099  o
-0.0488377 -93.0598  o
-0.0488706 -93.0206  o
-0.0489036 -92.9814  o
-0.0489367 -92.9422  o
-0.0489697 -92.903  o
-0.0490028 -92.8638  o
-0.049036 -92.8246  o
-0.0490691 -92.7854  o
-0.0491024 -92.7461  o
-0.0491356 -92.7069  o
-0.0491689 -92.6677  o
-0.0492022 -92.6285  o
-0.0492355 -92.5893  o
-0.0492689 -92.5501  o
-0.0493024 -92.5109  o
-0.0493358 -92.4717  o
-0.0493693 -92.4325  o
-0.0494028 -92.3933  o
-0.0494364 -92.3541  o
-0.04947 -92.3149  o
-0.0495036 -92.2757  o
-0.0495373 -92.2364  o
-0.049571 -92.1972  o
-0.0496048 -92.158  o
-0.0496386 -92.1188  o
-0.0496724 -92.0796  o
-0.0497062 -92.0404  o
-0.0497401 -92.0012  o
-0.0497741 -91.962  o
-0.049808 -91.9228  o
-0.049842 -91.8836  o
-0.0498761 -91.8444  o
-0.0499101 -91.8052  o
-0.0499443 -91.766  o
-0.0499784 -91.7267  o
-0.0500126 -91.6875  o
-0.0500468 -91.6483  o
-0.0500811 -91.6091  o
-0.0501154 -91.5699  o
-0.0501497 -91.5307  o
-0.0501841 -91.4915  o
-0.0502185 -91.4523  o
-0.0502529 -91.4131  o
-0.0502874 -91.3739  o
-0.0503219 -91.3347  o
-0.0503565 -91.2955  o
-0.0503911 -91.2563  o
-0.0504257 -91.217  o
-0.0504604 -91.1778  o
-0.0504951 -91.1386  o
-0.0505299 -91.0994  o
-0.0505646 -91.0602  o
-0.0505995 -91.021  o
-0.0506343 -90.9818  o
-0.0506692 -90.9426  o
-0.0507042 -90.9034  o
-0.0507391 -90.8642  o
-0.0507742 -90.825  o
-0.0508092 -90.7858  o
-0.0508443 -90.7465  o
-0.0508794 -90.7073  o
-0.0509146 -90.6681  o
-0.0509498 -90.6289  o
-0.050985 -90.5897  o
-0.0510203 -90.5505  o
-0.0510556 -90.5113  o
-0.051091 -90.4721  o
-0.0511264 -90.4329  o
-0.0511618 -90.3937  o
-0.0511973 -90.3545  o
-0.0512328 -90.3153  o
-0.0512684 -90.2761  o
-0.051304 -90.2368  o
-0.0513396 -90.1976  o
-0.0513753 -90.1584  o
-0.051411 -90.1192  o
-0.0514467 -90.08  o
-0.0514825 -90.0408  o
-0.0515183 -90.0016  o
-0.0515542 -89.9624  o
-0.0515901 -89.9232  o
-0.0516261 -89.884  o
-0.0516621 -89.8448  o
-0.0516981 -89.8056  o
-0.0517341 -89.7664  o
-0.0517703 -89.7271  o
-0.0518064 -89.6879  o
-0.0518426 -89.6487  o
-0.0518788 -89.6095  o
-0.0519151 -89.5703  o
-0.0519514 -89.5311  o
-0.0519877 -89.4919  o
-0.0520241 -89.4527  o
-0.0520605 -89.4135  o
-0.052097 -89.3743  o
-0.0521335 -89.3351  o
-0.0521701 -89.2959  o
-0.0522067 -89.2567  o
-0.0522433 -89.2174  o
-0.05228 -89.1782  o
-0.0523167 -89.139  o
-0.0523534 -89.0998  o
-0.0523902 -89.0606  o
-0.052427 -89.0214  o
-0.0524639 -88.9822  o
-0.0525008 -88.943  o
-0.0525378 -88.9038  o
-0.0525748 -88.8646  o
-0.0526118 -88.8254  o
-0.0526489 -88.7862  o
-0.052686 -88.7469  o
-0.0527232 -88.7077  o
