0.0	0.0	0.0
0.02	0.0	0.0
0.04	0.0	0.0
0.06	0.0	0.0
0.08	0.0	0.0
0.1	0.0	0.0
0.12	0.0	0.0
0.14	0.0	0.0
0.16	0.0	0.0
0.18	0.0	0.0
0.2	0.0	0.0
0.22	0.0	0.0
0.24	0.7	4.9
0.26	9.22	18.851302342278636
0.28	12.4	24.971183392062137
0.3	42.12	28.451108941480648
0.32	58.86	24.628446966871458
0.34	69.48	12.203671578668445
0.36	71.68	11.512497557003
0.38	74.1	11.766477807738388
0.4	76.52	5.622241545860512
0.42	77.68	5.37936799261772
0.44	79.58	4.36389734068069
0.46	81.16	4.314440867598025
0.48	82.82	4.136133460129158
0.5	82.78	4.314116363752837
0.52	83.14	3.8884958531545326
0.54	84.46	3.874067629765903
0.56	84.46	4.011034779205985
0.58	86.0	2.6
0.6	84.82	4.003448513469356
0.62	86.8	3.417601498127013
0.64	87.62	3.4052312696790508
0.66	86.52	4.177271836976856
0.68	87.78	3.8641428545021475
0.7000000000000001	88.34	3.3443085982008296
0.72	88.98	3.4321421881967535
0.74	89.34	3.308232156303424
0.76	89.5	3.6180105030251086
0.78	90.02	2.8177295824830315
0.8	89.84	3.477700389625305
0.8200000000000001	90.52	2.765791026090004
0.84	90.24	3.023640190234281
0.86	90.9	2.9681644159311653
0.88	91.06	3.2150272160589872
0.9	91.78	2.54
0.92	91.58	3.4005293705539437
0.9400000000000001	91.54	2.6699063653993558
0.96	92.06	2.9148584871310645
0.98	91.74	2.45609446072418
