0.00E+00	1.00E-01	3.00E-01
2.00E-02	1.00E-01	3.00E-01
4.00E-02	2.00E-01	4.00E-01
6.00E-02	3.00E+00	3.03E+00
8.00E-02	8.20E+00	7.04E+00
1.00E-01	2.82E+01	7.98E+00
1.20E-01	4.04E+01	1.17E+01
1.40E-01	4.74E+01	6.22E+00
1.60E-01	6.01E+01	4.74E+00
1.80E-01	6.62E+01	7.88E+00
2.00E-01	7.15E+01	4.88E+00
2.20E-01	7.42E+01	5.08E+00
2.40E-01	7.32E+01	5.51E+00
2.60E-01	8.01E+01	5.65E+00
2.80E-01	8.14E+01	5.59E+00
3.00E-01	8.25E+01	2.58E+00
3.20E-01	8.16E+01	4.98E+00
3.40E-01	8.42E+01	3.12E+00
3.60E-01	8.79E+01	3.67E+00
3.80E-01	8.57E+01	2.19E+00
4.00E-01	8.65E+01	2.69E+00
4.20E-01	8.78E+01	5.10E+00
4.40E-01	8.84E+01	2.91E+00
4.60E-01	8.94E+01	2.33E+00
4.80E-01	9.10E+01	2.68E+00
5.00E-01	8.96E+01	2.80E+00
5.20E-01	9.06E+01	4.10E+00
5.40E-01	8.75E+01	3.58E+00
5.60E-01	8.95E+01	2.69E+00
5.80E-01	9.17E+01	2.61E+00
6.00E-01	8.99E+01	2.02E+00
6.20E-01	9.30E+01	2.49E+00
6.40E-01	9.21E+01	2.34E+00
6.60E-01	9.18E+01	3.46E+00
6.80E-01	9.33E+01	3.03E+00
7.00E-01	9.26E+01	1.62E+00
7.20E-01	9.29E+01	2.21E+00
7.40E-01	9.35E+01	2.42E+00
7.60E-01	9.36E+01	2.11E+00
7.80E-01	9.30E+01	1.61E+00
8.00E-01	9.27E+01	3.38E+00
8.20E-01	9.38E+01	2.60E+00
8.40E-01	9.36E+01	2.01E+00
8.60E-01	9.43E+01	3.41E+00
8.80E-01	9.46E+01	1.43E+00
9.00E-01	9.47E+01	2.05E+00
9.20E-01	9.44E+01	1.80E+00
9.40E-01	9.55E+01	2.38E+00
9.60E-01	9.52E+01	1.99E+00
9.80E-01	9.37E+01	2.97E+00
